Date,Open,High,Low,Close,Adj Close,Volume
2010-08-01,19.375000,19.525000,17.895000,17.959999,15.765505,535351000
2010-09-01,18.219999,21.230000,18.219999,20.910000,18.355055,409710800
2010-10-01,21.004999,22.155001,20.600000,21.805000,19.175446,457727000
2010-11-01,21.965000,23.735001,21.500000,23.555000,20.714403,429570600
2010-12-01,23.809999,24.905001,23.549999,24.180000,21.264032,342970200
2011-01-01,24.240000,24.535000,23.000000,23.215000,20.508440,363031200
2011-02-01,23.355000,25.305000,23.065001,24.610001,21.740793,415530000
2011-03-01,24.605000,25.605000,23.700001,25.400000,22.438694,664735800
2011-04-01,25.555000,26.910000,25.340000,26.655001,23.583248,356995800
2011-05-01,26.750000,27.360001,25.844999,27.070000,23.950422,404525600
2011-06-01,26.945000,26.980000,24.575001,26.690001,23.614210,565173000
2011-07-01,26.735001,28.219999,26.135000,26.629999,23.607708,322309800
2011-08-01,26.965000,27.000000,21.750000,24.799999,21.985394,649652600
2011-09-01,24.799999,25.235001,22.665001,23.110001,20.487190,466662000
2011-10-01,23.040001,27.459999,21.805000,26.290001,23.352669,497811000
2011-11-01,25.565001,26.875000,24.215000,25.940001,23.041777,390641800
2011-12-01,25.840000,26.850000,25.350000,26.275000,23.339346,280991800
2012-01-01,26.695000,28.174999,25.655001,27.575001,24.602896,241324000
2012-02-01,27.700001,29.934999,27.655001,29.440001,26.266886,246449200
2012-03-01,29.655001,31.520000,29.315001,30.625000,27.324167,256195800
2012-04-01,30.580000,31.514999,29.365000,30.870001,27.587461,273077400
2012-05-01,30.764999,31.365000,28.385000,29.205000,26.099508,376483400
2012-06-01,28.660000,29.650000,27.920000,29.545000,26.403349,331110400
2012-07-01,29.530001,30.430000,28.610001,29.555000,26.481890,176843200
2012-08-01,29.715000,30.875000,28.730000,30.610001,27.427191,157016600
2012-09-01,30.610001,32.735001,30.430000,31.375000,28.112646,133190800
2012-10-01,31.555000,32.180000,30.415001,31.155001,28.004562,150702000
2012-11-01,31.184999,32.000000,29.790001,31.635000,28.436018,165496200
2012-12-01,31.700001,32.090000,30.049999,31.190001,28.036022,155524800
2013-01-01,32.000000,33.570000,31.165001,33.525002,30.412029,265464200
2013-02-01,33.764999,34.480000,32.740002,33.544998,30.430168,289604000
2013-03-01,33.395000,35.404999,33.330002,35.165001,31.899744,164957800
2013-04-01,35.209999,36.869999,34.380001,36.735001,33.352299,179878800
2013-05-01,36.599998,39.779999,36.105000,38.799999,35.227142,180156000
2013-06-01,38.990002,39.445000,36.924999,38.305000,34.777710,157159800
2013-07-01,38.529999,41.185001,38.400002,40.840000,37.187580,110860200
2013-08-01,41.075001,41.619999,38.619999,38.939999,35.457504,157094800
2013-09-01,39.450001,41.599998,38.855000,41.009998,37.342373,110048800
2013-10-01,41.029999,42.520000,39.549999,42.084999,38.368484,133986800
2013-11-01,42.185001,44.474998,41.794998,44.230000,40.324074,129740000
2013-12-01,44.230000,44.325001,42.459999,44.049999,40.159950,138431800
2014-01-01,43.959999,44.130001,39.525002,39.924999,36.460819,146934000
2014-02-01,39.820000,43.090000,38.400002,42.814999,39.100067,152553200
2014-03-01,42.430000,43.764999,41.345001,42.125000,38.469925,134988600
2014-04-01,42.189999,43.584999,40.090000,41.759998,38.196960,126269000
2014-05-01,41.720001,42.615002,40.314999,41.889999,38.315865,95563000
2014-06-01,42.014999,43.660000,41.540001,43.400002,39.697033,65343200
2014-07-01,43.470001,44.365002,41.849998,41.924999,38.452854,106379600
2014-08-01,41.785000,44.869999,41.520000,44.415001,40.736637,78799600
2014-09-01,44.525002,44.994999,42.695000,42.790001,39.246216,58542600
2014-10-01,42.700001,44.544998,40.290001,44.224998,40.634678,136550200
2014-11-01,44.294998,47.540001,43.674999,47.154999,43.326817,84385600
2014-12-01,46.845001,48.575001,45.169998,48.005001,44.107811,135040100
2015-01-01,48.224998,48.575001,45.764999,47.590000,43.809959,110140100
2015-02-01,46.564999,49.535000,45.520000,48.955002,45.066551,77372300
2015-03-01,49.310001,51.250000,48.445000,50.520000,46.507229,66727600
2015-04-01,50.634998,51.110001,48.185001,49.950001,46.141094,103592700
2015-05-01,48.474998,49.970001,48.115002,48.825001,45.101868,100294900
2015-06-01,48.919998,50.884998,48.665001,49.224998,45.471355,88716100
2015-07-01,49.740002,50.965000,47.759998,50.035000,46.354343,77942700
2015-08-01,49.099998,49.715000,41.625000,45.669998,42.310436,106337900
2015-09-01,45.645000,47.680000,43.549999,44.419998,41.152386,77429300
2015-10-01,44.500000,46.459999,43.330002,45.889999,42.596592,131339900
2015-11-01,45.950001,47.060001,41.959999,44.570000,41.371323,113528500
2015-12-01,44.790001,45.099998,42.509998,43.240002,40.136772,86755600
2016-01-01,42.599998,43.400002,37.799999,41.040001,38.225716,86843000
2016-02-01,41.020000,43.790001,37.919998,43.320000,40.349369,92474700
2016-03-01,43.639999,46.500000,43.230000,46.180000,43.013241,89939800
2016-04-01,46.009998,46.180000,43.169998,44.200001,41.306206,104823800
2016-05-01,44.560001,44.669998,39.950001,42.310001,39.539940,140536400
2016-06-01,42.110001,43.160000,39.500000,41.959999,39.212852,105099600
2016-07-01,41.910000,45.500000,41.279999,45.090000,42.293358,76700600
2016-08-01,45.029999,46.360001,43.009998,44.470001,41.711807,106425900
2016-09-01,44.360001,44.770000,42.910000,43.549999,40.848869,76777500
2016-10-01,43.529999,44.349998,41.689999,42.230000,39.743229,56632200
2016-11-01,42.049999,47.139999,40.849998,45.709999,43.018291,118472500
2016-12-01,45.369999,48.259998,43.930000,44.070000,41.474865,112071300
2017-01-01,44.349998,45.340000,42.110001,43.200001,40.786652,135108200
2017-02-01,43.200001,44.439999,42.230000,42.930000,40.531738,150063000
2017-03-01,43.349998,43.509998,40.490002,42.240002,39.880283,137573100
2017-04-01,42.279999,43.810001,40.700001,42.910000,40.616238,97542400
2017-05-01,43.099998,44.200001,40.139999,40.740002,38.562241,89026100
2017-06-01,40.720001,41.709999,38.650002,40.720001,38.543304,93113400
2017-07-01,40.869999,41.529999,38.529999,41.160000,39.152367,88269400
2017-08-01,41.180000,41.730000,37.720001,39.169998,37.259430,90948800
2017-09-01,39.259998,41.990002,39.259998,41.770000,39.732609,70040000
2017-10-01,41.680000,41.990002,39.310001,39.490002,37.731030,86902000
2017-11-01,39.740002,44.830002,38.689999,43.730000,41.782166,144779500
2017-12-01,43.650002,46.189999,42.610001,45.180000,43.167583,129119500
2018-01-01,45.500000,49.090000,44.869999,47.220001,45.319427,128403200
2018-02-01,46.869999,47.180000,42.770000,45.279999,43.457508,112630300
2018-03-01,45.139999,46.209999,42.930000,44.299999,42.516956,111376300
2018-04-01,44.090000,46.009998,42.700001,45.180000,43.484241,83540800
2018-05-01,45.110001,47.389999,44.250000,46.369999,44.629578,92060800
2018-06-01,46.349998,51.040001,46.250000,48.560001,46.737381,114984900
2018-07-01,48.250000,50.849998,47.900002,49.630001,47.929871,119641600
2018-08-01,49.439999,52.959999,48.529999,52.090000,50.305599,145599600
2018-09-01,52.150002,52.330002,50.759998,51.020000,49.272255,95853500
2018-10-01,51.240002,51.400002,45.520000,47.139999,45.665878,199803400
2018-11-01,47.049999,49.919998,43.759998,46.349998,44.900589,166105800
2018-12-01,47.029999,47.130001,38.099998,40.990002,39.708202,161269400
2019-01-01,40.349998,45.009998,40.200001,44.160000,42.958557,119872500
2019-02-01,44.279999,46.360001,43.549999,45.880001,44.631760,90581900
2019-03-01,46.509998,46.930000,43.250000,45.009998,43.785427,122942400
2019-04-01,45.209999,46.130001,44.209999,45.680000,44.572968,104772300
2019-05-01,45.730000,45.900002,39.580002,40.049999,39.079411,120437500
2019-06-01,40.020000,43.060001,39.930000,42.369999,41.343182,106258200
2019-07-01,43.029999,43.480000,41.910000,42.590000,41.749180,87664000
2019-08-01,42.680000,43.049999,37.459999,39.770000,38.984852,138208600
2019-09-01,39.509998,44.290001,38.919998,42.430000,41.592339,125684800
2019-10-01,42.639999,45.000000,40.110001,43.150002,42.476711,112243700
2019-11-01,43.389999,45.410000,42.959999,44.680000,43.982838,72168100
2019-12-01,44.730000,46.570000,43.360001,46.009998,45.292084,62031200
2020-01-01,46.540001,46.540001,42.900002,43.060001,42.586086,84204300
2020-02-01,43.290001,46.240002,39.160000,40.279999,39.836674,99120700
2020-03-01,40.200001,41.820000,26.290001,29.780001,29.452244,179336400
2020-04-01,28.650000,38.430000,26.660000,36.680000,36.504780,147421300
2020-05-01,35.770000,42.110001,34.689999,40.799999,40.605099,108766800
2020-06-01,40.700001,45.419998,39.970001,42.880001,42.675167,118845700
2020-07-01,42.939999,47.959999,42.549999,47.330002,47.207943,78057100
2020-08-01,47.580002,53.459999,47.459999,51.790001,51.656441,69918700
2020-09-01,51.750000,53.660000,48.020000,49.660000,49.531933,83673100
2020-10-01,49.959999,55.259998,49.389999,49.840000,49.840000,78698700
2020-11-01,50.509998,61.400002,50.009998,60.080002,60.080002,77014800
2020-12-01,60.939999,61.110001,60.180000,60.810001,60.810001,3477900
